2026-06-20T02:40:27.040829123Z [inf]  Starting Container
2026-06-20T02:40:27.776546999Z [inf]  Pyromod is working! If you like pyromod, please star it at https://github.com/usernein/pyromod
2026-06-20T02:40:32.936844155Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("solo_list_cmd") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936847095Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("force_start_solo") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936849667Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("extend_solo_cmd") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936852518Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("resume_solo_cmd") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936856449Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("end_solo_cmd") in group 0 from "plugins.solo"
2026-06-20T02:40:32.936859138Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("solo_score_cmd") in group 0 from "plugins.solo"
2026-06-20T02:40:32.938408631Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("ping_cmd") in group 0 from "plugins.start"
2026-06-20T02:40:32.938413431Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("start_cmd") in group 0 from "plugins.start"
2026-06-20T02:40:32.938421024Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("help_cmd") in group 0 from "plugins.start"
2026-06-20T02:40:32.938423765Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("help_callback") in group 0 from "plugins.start"
2026-06-20T02:40:32.938426758Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("choose_team_mode") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938429683Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("host_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938432539Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("create_teams_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938435443Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("join_team_a") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938438435Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("join_team_b") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938441236Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("join_a_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938443701Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("join_b_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.938446520Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("recreate_teams_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939551942Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("add_a_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939555661Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("add_b_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939559141Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("remove_player_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939561906Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("members_list_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939564704Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("choose_caps_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939567644Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("set_cap_a") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939570277Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("set_cap_b") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939573108Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("toss_choice") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939575947Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("set_overs_cmd") in group 0 from "plugins.team_setup"
2026-06-20T02:40:32.939578707Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("stats_cmd") in group 0 from "plugins.stats"
2026-06-20T02:40:32.939581868Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] MessageHandler("leaderboard_cmd") in group 0 from "plugins.stats"
2026-06-20T02:40:32.939584597Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] [LOAD] CallbackQueryHandler("leaderboard_callback") in group 0 from "plugins.stats"
2026-06-20T02:40:32.940754123Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.client | [CricketManiaBot] Successfully loaded 55 plugins from "plugins"
2026-06-20T02:40:32.940757447Z [err]  2026-06-20 02:40:32 | INFO | pyrogram.dispatcher | Started 32 HandlerTasks
2026-06-20T02:40:33.109438774Z [err]  2026-06-20 02:40:33 | INFO | __main__ | ✅ @Cric_CrazeBot — CricCraze Bot 🎩 is LIVE!
